title,location,price,area_sqft,price_per_sqft
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,14200000,3150,4508
"Plot/Land for Sale in Saket, Secunderabad Hyderabad",Saket,22600000,2601,8670
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,5900000,1782,3333
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4900000,2700,1833
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,6500000,2160,3009
"Plot/Land for Sale in Bbg True Gold 2 Phase 7, Shadnagar, Hyderabad Hyderabad",Bbg True Gold 2 Phase 7,2300000,1773,1297
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,16000000,9000,1778
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,5400000,1350,4000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4300000,3267,1331
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,9500000,2403,3953
"Plot/Land for Sale in Fortune Farm Valley Maheshwaram, Hyderabad Hyderabad",Fortune Farm Valley Maheshwaram,54000000,40500,1333
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,7200000,2034,3540
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,7500000,1800,4167
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,17000000,1800,9444
Plot/Land for Sale in Raghavapuram Bibinagar Hyderabad,Raghavapuram Bibinagar Hyderabad,2500000,2079,1203
Plot/Land for Sale in Mallapur Hyderabad,Mallapur Hyderabad,4800000,1332,3574
Plot/Land for Sale in aduri golden heights health village Hyderabad,aduri golden heights health village Hyderabad,4700000,2700,1756
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,5700000,1836,3111
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,9200000,2547,3612
Plot/Land for Sale in Harshaguda Hyderabad,Harshaguda Hyderabad,12900000,3159,4084
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2100000,1350,1555
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,4400000,1800,2444
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,7500000,2250,3333
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,3500000,1647,2125
Plot/Land for Sale in Mithila Nagar Banjara Hills Hyderabad,Mithila Nagar Banjara Hills Hyderabad,48000000,1665,28829
Plot/Land for Sale in Don Bosco Nagar Darga Khaliz Khan Road Hyderabad,Don Bosco Nagar Darga Khaliz Khan Road Hyderabad,24000000,2225,10787
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,4000000,1800,2222
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4600000,1800,2556
Plot/Land for Sale in Masaipet Hyderabad,Masaipet Hyderabad,2400000,1350,1778
Plot/Land for Sale in Peddatupra Hyderabad,Peddatupra Hyderabad,40000000,8649,4625
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,12500000,4536,2756
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,15000000,2808,5342
Plot/Land for Sale in Pulumamidi Hyderabad,Pulumamidi Hyderabad,2400000,2196,1093
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,15000000,2403,6242
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1647,1943
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,2700000,1530,1765
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,10500000,2196,4778
Plot/Land for Sale in Vanasthali Hills Hyderabad,Vanasthali Hills Hyderabad,18000000,4500,4000
"Plot/Land for Sale in Indresham, Bachuguda Hyderabad",Indresham,4800000,1350,3556
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,17800000,2646,6727
"Plot/Land for Sale in Kailash Hills, Mahadevpur Colony Hyderabad",Kailash Hills,20000000,1800,11111
Plot/Land for Sale in Kamsanpalle Hyderabad,Kamsanpalle Hyderabad,2500000,1485,1667
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1500000,1485,1010
Plot/Land for Sale in Shankarpally Road Hyderabad,Shankarpally Road Hyderabad,4800000,1980,2424
Plot/Land for Sale in Bacharam Hyderabad,Bacharam Hyderabad,15000000,5454,2750
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,20000000,1000,20000
Plot/Land for Sale in Kanajiguda Hyderabad,Kanajiguda Hyderabad,21400000,2403,8889
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,18300000,3924,4667
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4300000,1980,2187
Plot/Land for Sale in Balapur Road Hyderabad,Balapur Road Hyderabad,5000000,2070,2415
Plot/Land for Sale in Keshampet Hyderabad,Keshampet Hyderabad,1800000,1323,1361
Plot/Land for Sale in Nawabpet Hyderabad,Nawabpet Hyderabad,13500000,9000,1500
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,10000000,3600,2778
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,30000000,9000,3333
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1400000,1350,1074
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,6400000,1800,3556
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,3100000,1620,1889
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,9600000,3150,3056
Plot/Land for Sale in Nehru Outer Ring Road Hyderabad,Nehru Outer Ring Road Hyderabad,4000000,1620,2469
Plot/Land for Sale in Jayalaxmi Nagar Hyderabad,Jayalaxmi Nagar Hyderabad,31500000,2700,11667
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2500000,1872,1335
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3500000,1350,2611
Plot/Land for Sale in Reddypalli Hyderabad,Reddypalli Hyderabad,10700000,4806,2222
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,3300000,2385,1399
Plot/Land for Sale in Pratap Singaram Hyderabad,Pratap Singaram Hyderabad,7200000,2394,3008
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,2300000,1323,1738
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,21000000,2781,7551
Plot/Land for Sale in Kolanupaka Hyderabad,Kolanupaka Hyderabad,4200000,2500,1674
Plot/Land for Sale in Aziz Nagar Hyderabad,Aziz Nagar Hyderabad,30000000,10800,2778
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,3500000,2790,1254
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,15000000,3600,4167
Plot/Land for Sale in Pulumamidi Hyderabad,Pulumamidi Hyderabad,4200000,2160,1944
Plot/Land for Sale in Gaddapotharam Hyderabad,Gaddapotharam Hyderabad,3900000,1800,2167
Plot/Land for Sale in Bogaram Hyderabad,Bogaram Hyderabad,3700000,1980,1889
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,12000000,2400,5000
"Plot/Land for Sale in Quthbullapur, NH 7 Hyderabad",Quthbullapur,24000000,2403,9988
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,20700000,2394,8667
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,4500000,1800,2500
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,14000000,2403,5826
Plot/Land for Sale in Mumbai Highway Hyderabad,Mumbai Highway Hyderabad,2400000,1800,1333
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,2400000,2160,1111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2000000,1323,1512
Plot/Land for Sale in Kowkoor Main Road Hyderabad,Kowkoor Main Road Hyderabad,29200000,5850,5000
Plot/Land for Sale in Narepally Hyderabad,Narepally Hyderabad,10000000,2250,4444
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,4500000,2700,1667
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,12000000,2700,4444
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,3300000,1485,2222
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,2400000,1647,1485
Plot/Land for Sale in Nadargul Hyderabad,Nadargul Hyderabad,4000000,1000,4000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3600000,1800,2000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,24000000,3591,6683
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,8500000,900,9444
Plot/Land for Sale in Yapral Hyderabad,Yapral Hyderabad,20000000,2400,8333
Plot/Land for Sale in Timmapur Hyderabad,Timmapur Hyderabad,8900000,4446,2003
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,4000000,1800,2222
"Plot/Land for Sale in Ameerpet, NH 9 Hyderabad",Ameerpet,33800000,27660,1222
Plot/Land for Sale in Rameshwar Banda Hyderabad,Rameshwar Banda Hyderabad,11100000,3996,2778
Plot/Land for Sale in Netaji Nagar Gulmohar Park Colony Hyderabad,Netaji Nagar Gulmohar Park Colony Hyderabad,14000000,1080,12963
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,8000000,3600,2222
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,2900000,1503,1929
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,5000000,1503,3327
Plot/Land for Sale in Kondakal Hyderabad,Kondakal Hyderabad,18700000,2250,8333
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,5000000,1800,2778
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,5300000,1503,3556
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2000000,1800,1111
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,34000000,3600,9444
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,13600000,2232,6111
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,43200000,8460,5106
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,11000000,4950,2222
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2600000,1980,1313
Plot/Land for Sale in Hyderguda Attapur Hyderabad,Hyderguda Attapur Hyderabad,25000000,1647,15179
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,3600000,1476,2439
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1500000,1350,1111
Plot/Land for Sale in Bangalore Hyderabad Highway Hyderabad,Bangalore Hyderabad Highway Hyderabad,2400000,1647,1444
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2600000,2340,1111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1600000,1323,1209
"Plot/Land for Sale in Patancheru Industrial Area, Outer Ring Road Hyderabad",Patancheru Industrial Area,10000000,2997,3337
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,30000000,6003,4998
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,13200000,1800,7333
"Plot/Land for Sale in Boduppal, NH 2 2 Hyderabad",Boduppal,21100000,2376,8888
"Plot/Land for Sale in Machabollaram, Medchal Road Hyderabad",Machabollaram,18000000,1800,10000
Plot/Land for Sale in Suchitra Road Hyderabad,Suchitra Road Hyderabad,17000000,1890,8995
Plot/Land for Sale in Penjerla Hyderabad,Penjerla Hyderabad,2000000,1782,1122
Plot/Land for Sale in Sai Nagar Indresham Hyderabad,Sai Nagar Indresham Hyderabad,4500000,1800,2500
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,2400000,1800,1333
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,11600000,4916,2360
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,4300000,1287,3333
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,11000000,1809,6081
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,6800000,3051,2222
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,5000000,2250,2222
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,8000000,2493,3209
Plot/Land for Sale in Kallakal Hyderabad,Kallakal Hyderabad,4700000,2115,2222
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,22000000,9000,2444
Plot/Land for Sale in Rachaloor Hyderabad,Rachaloor Hyderabad,6500000,2403,2705
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,4400000,1800,2444
Plot/Land for Sale in East Marredpally Hyderabad,East Marredpally Hyderabad,60000000,4500,13333
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,3000000,2997,1001
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,15000000,2340,6410
Plot/Land for Sale in Hayathnagar Khalsa Hyderabad,Hayathnagar Khalsa Hyderabad,18000000,2400,7500
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,9700000,1800,5389
"Plot/Land for Sale in Maheswaram Lines, Chandrayangutta, Srisailam Highway Hyderabad",Maheswaram Lines,2300000,1440,1597
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,3100000,1980,1556
Plot/Land for Sale in Hayathnagar Khalsa Hyderabad,Hayathnagar Khalsa Hyderabad,20000000,1998,10010
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,4400000,1566,2778
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,25000000,4500,5556
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,3500000,1503,2329
Plot/Land for Sale in Nadergul Road Hyderabad,Nadergul Road Hyderabad,4000000,2700,1481
Plot/Land for Sale in DTCP MEDCHAL Hyderabad,DTCP MEDCHAL Hyderabad,11000000,5247,2096
Plot/Land for Sale in Machanpalle Shabad Hyderabad,Machanpalle Shabad Hyderabad,8000000,2700,2963
Plot/Land for Sale in Shapur Nagar Hyderabad,Shapur Nagar Hyderabad,15000000,2160,6944
Plot/Land for Sale in Garden of Eden 8 Hyderabad,Garden of Eden 8 Hyderabad,1700000,1485,1145
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,10000000,2000,5000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,11600000,3744,3098
"Plot/Land for Sale in Bowrampet, Outer Ring Road Hyderabad",Bowrampet,18300000,7506,2444
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3000000,1620,1852
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,100000000,3200,31250
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,100000000,18000,5556
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,100000000,18000,5556
Plot/Land for Sale in Shadnagar Bypass Road Hyderabad,Shadnagar Bypass Road Hyderabad,4000000,1485,2667
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2400000,1980,1212
"Plot/Land for Sale in Sultanpur, Outer Ring Road Hyderabad",Sultanpur,4500000,1350,3333
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2000000,1350,1481
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,6900000,2799,2465
"Plot/Land for Sale in Quthbullapur, NH 7 Hyderabad",Quthbullapur,8200000,1800,4556
"Plot/Land for Sale in Raviryal, Outer Ring Road Hyderabad",Raviryal,12500000,2250,5556
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,15000000,2376,6313
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1800000,1350,1333
Plot/Land for Sale in Ibrahimpatnam Road Hyderabad,Ibrahimpatnam Road Hyderabad,2000000,1350,1481
Plot/Land for Sale in TV COLONY RAMANTHPUR Hyderabad,TV COLONY RAMANTHPUR Hyderabad,30000000,3690,8130
Plot/Land for Sale in Hyderguda Hyderabad,Hyderguda Hyderabad,22300000,1485,15000
Plot/Land for Sale in Mokila Road Hyderabad,Mokila Road Hyderabad,25500000,2700,9444
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,11000000,4950,2222
Plot/Land for Sale in Nandigama Kothur Hyderabad,Nandigama Kothur Hyderabad,12500000,2997,4171
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,5400000,1800,3000
Plot/Land for Sale in prakritik vihar balaji nagar yapral Hyderabad,prakritik vihar balaji nagar yapral Hyderabad,30000000,4797,6254
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1600000,1350,1222
Plot/Land for Sale in Av devaki meadows Hyderabad,Av devaki meadows Hyderabad,12000000,5310,2260
Plot/Land for Sale in Chengicherla Hyderabad,Chengicherla Hyderabad,2400000,1575,1524
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2200000,1350,1630
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,22200000,6660,3333
Plot/Land for Sale in Baswapur Siddipet Hyderabad,Baswapur Siddipet Hyderabad,3600000,2700,1333
Plot/Land for Sale in open plot Hyderabad,open plot Hyderabad,33000000,2520,13095
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,15000000,6669,2249
Plot/Land for Sale in Kavuri Hills Madhapur Hyderabad,Kavuri Hills Madhapur Hyderabad,21000000,1746,12027
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,20000000,2880,6944
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,37500000,11240,3333
Plot/Land for Sale in Mekaguda Hyderabad,Mekaguda Hyderabad,10000000,3600,2778
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,13000000,3600,3611
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,3600000,1800,2000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2800000,1683,1667
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,15000000,9000,1667
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,5500000,1800,3056
"Plot/Land for Sale in Pocharam, NH 2 2 Hyderabad",Pocharam,5000000,1800,2778
Plot/Land for Sale in Nandi Kandi Hyderabad,Nandi Kandi Hyderabad,2900000,1350,2148
Plot/Land for Sale in Kothaguda Batasingaram Hyderabad,Kothaguda Batasingaram Hyderabad,4700000,1800,2589
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,5300000,1350,3889
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1800000,1080,1667
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,5600000,1908,2935
Plot/Land for Sale in Shaikpet Hyderabad,Shaikpet Hyderabad,100000000,5400,18519
"Plot/Land for Sale in Hema Nagar, Secunderabad Hyderabad",Hema Nagar,24000000,2700,8889
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2200000,999,2252
Plot/Land for Sale in Rangareddy Hyderabad,Rangareddy Hyderabad,10000000,936,10684
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1900000,1503,1297
Plot/Land for Sale in Patancheru near bhel Hyderabad,Patancheru near bhel Hyderabad,3000000,1800,1667
Plot/Land for Sale in Peerzadiguda Road Hyderabad,Peerzadiguda Road Hyderabad,11200000,3438,3258
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,18000000,10800,1667
Plot/Land for Sale in Anmagal Hayathnagar Hyderabad,Anmagal Hayathnagar Hyderabad,20000000,3870,5168
Plot/Land for Sale in Secunderabad Hyderabad,Secunderabad Hyderabad,56000000,36000,1556
Plot/Land for Sale in Chegur Road Hyderabad,Chegur Road Hyderabad,2500000,1503,1663
Plot/Land for Sale in scope farm Hyderabad,scope farm Hyderabad,12000000,5400,2222
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,2100000,1323,1587
Plot/Land for Sale in MMR Estate Deshmukhi Village Hyderabad,MMR Estate Deshmukhi Village Hyderabad,22100000,14400,1535
Plot/Land for Sale in Budwel Hyderabad,Budwel Hyderabad,8500000,1125,7556
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4500000,1818,2475
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,4200000,1818,2310
"Plot/Land for Sale in Hafeezpet, NH 9 Hyderabad",Hafeezpet,32000000,2700,11852
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,3000000,2412,1244
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,6600000,4995,1321
Plot/Land for Sale in Yeliminedu Hyderabad,Yeliminedu Hyderabad,2300000,1503,1500
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,5700000,2700,2111
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3000000,2700,1111
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,9300000,2097,4444
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,13800000,2394,5778
Plot/Land for Sale in Rampally Main Road Hyderabad,Rampally Main Road Hyderabad,10000000,1800,5556
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,1600000,1485,1111
Plot/Land for Sale in Yenkepally Hyderabad,Yenkepally Hyderabad,7000000,1800,3889
Plot/Land for Sale in Maddikunta Hyderabad,Maddikunta Hyderabad,2500000,1620,1543
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,4300000,2385,1803
Plot/Land for Sale in Nandi Kandi Hyderabad,Nandi Kandi Hyderabad,2800000,1323,2111
Plot/Land for Sale in Sreenagar Hyderabad,Sreenagar Hyderabad,11700000,3510,3333
Plot/Land for Sale in Yapral Hyderabad,Yapral Hyderabad,3000000,1224,2451
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,12000000,5400,2222
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,4600000,2187,2111
Plot/Land for Sale in Ismailkhanguda Hyderabad,Ismailkhanguda Hyderabad,8000000,1926,4154
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,10000000,1800,5556
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,3000000,1647,1821
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,11000000,600,18333
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,7000000,1359,5151
Plot/Land for Sale in Chegur Hyderabad,Chegur Hyderabad,5000000,4500,1111
Plot/Land for Sale in adibatla oppoaite TCS Hyderabad,adibatla oppoaite TCS Hyderabad,12500000,1800,6944
Plot/Land for Sale in simhapuri colony Hyderabad,simhapuri colony Hyderabad,26700000,2403,11111
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,15000000,2160,6944
"Plot/Land for Sale in Sirka Oasis, Bhanur Hyderabad",Sirka Oasis,13200000,4167,3167
Plot/Land for Sale in Ramachandrapuram Hyderabad,Ramachandrapuram Hyderabad,13500000,1800,7500
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,3200000,2790,1143
Plot/Land for Sale in silpa dreamvalley Hyderabad,silpa dreamvalley Hyderabad,90000000,9000,10000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2100000,1368,1500
Plot/Land for Sale in Gantlavelli Hyderabad,Gantlavelli Hyderabad,1800000,1314,1370
Plot/Land for Sale in Isnapur Indira Karan Road Hyderabad,Isnapur Indira Karan Road Hyderabad,6800000,2153,3159
Plot/Land for Sale in Vikarabad Road Hyderabad,Vikarabad Road Hyderabad,2300000,1485,1555
Plot/Land for Sale in Bogaram Hyderabad,Bogaram Hyderabad,4000000,2160,1852
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,4000000,2403,1667
Plot/Land for Sale in Thimmapur Hyderabad,Thimmapur Hyderabad,4000000,1800,2222
Plot/Land for Sale in green fields Hyderabad,green fields Hyderabad,1200000,1089,1102
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,7500000,4203,1784
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,18000000,5400,3333
"Plot/Land for Sale in Miyapur, NH 9 Hyderabad",Miyapur,9000000,2700,3333
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2800000,1485,1886
"Plot/Land for Sale in Vikrampuri, Secunderabad Hyderabad",Vikrampuri,4900000,3528,1389
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,22000000,3600,6111
"Plot/Land for Sale in Bongloor, Outer Ring Road Hyderabad",Bongloor,7300000,2628,2778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1485,1667
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,65000000,45000,1444
Plot/Land for Sale in Bhuvanagiri Nalgonda Road Hyderabad,Bhuvanagiri Nalgonda Road Hyderabad,73600000,41400,1778
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,13600000,4383,3111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,12000000,1050,11429
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,4000000,2160,1852
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,2700000,1503,1778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3300000,1800,1833
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1800,1778
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,10500000,2700,3889
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,12000000,5400,2222
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1500000,1350,1111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2600000,1647,1556
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,6400000,2400,2670
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,2000000,1800,1111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,7000000,1575,4444
Plot/Land for Sale in Dabilpur Hyderabad,Dabilpur Hyderabad,9600000,4806,1998
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,13900000,5220,2667
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,2400000,1800,1333
