property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2667,2250,,Freehold,DTCP,,Yes,6000000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3111,4500,180 X 25,,,,Yes,14000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1671,1197,120 X 90,Freehold,,East,No,2000000
Plot/Land for Sale in Keshampet Hyderabad,Keshampet Hyderabad,1436,1323,120 X 11,,,,Yes,1900000
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,4453,2403,60 X 40.05,Freehold,HMDA,,Yes,10700000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1889,1800,147 X 12.2,Freehold,DTCP,East,No,3400000
Plot/Land for Sale in Chennaram Hyderabad,Chennaram Hyderabad,1248,1638,42 X 39,,,,Yes,2000000
Plot/Land for Sale in Lakdaram Hyderabad,Lakdaram Hyderabad,3111,3600,60 X 60,Freehold,HMDA,East,No,11200000
"Plot/Land for Sale in TPS Colony, Secunderabad Hyderabad",TPS Colony,3536,2404,40 X 60.1,Freehold,GHMC,East,No,8500000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2167,1467,,,DTCP,,Yes,3200000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2186,1647,165 X 99,,DTCP,,Yes,3600000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1310,1908,54 X 36,,DTCP,,Yes,2500000
Plot/Land for Sale in Mirzapur Zaheerabad Hyderabad,Mirzapur Zaheerabad Hyderabad,1611,1503,11.1 X 135,Freehold,DTCP,East,No,2400000
Plot/Land for Sale in Kandi Hyderabad,Kandi Hyderabad,2667,1503,50.1 X 30,,HMDA,,Yes,4000000
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,3208,3429,,Freehold,HMDA,,Yes,11000000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4000,1350,,,HMDA,,Yes,5400000
"Plot/Land for Sale in Annaram, Nagole Hyderabad",Annaram,1667,1800,108 X 16.7,,,,Yes,3000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,6667,3492,53.72 X 65,Freehold,,,Yes,23300000
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,1444,2160,60 X 36,Freehold,HMDA,East,No,3100000
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,4317,3915,36 X 109,Freehold,HMDA,East,No,16900000
Plot/Land for Sale in Nandigama Kothur Hyderabad,Nandigama Kothur Hyderabad,2497,3204,80 X 40.05,,,,Yes,8000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2000,2403,61.6 X 39,Freehold,,,Yes,4800000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2555,2583,,,DTCP,,Yes,6600000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,8889,3150,14 X 225,Freehold,HMDA,,Yes,28000000
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,8222,1800,60 X 30,,,,Yes,14800000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,2222,1800,180 X 9.99,Freehold,HMDA,East,No,4000000
Plot/Land for Sale in Shankarpally Road Hyderabad,Shankarpally Road Hyderabad,2677,1980,165 X 12,Freehold,HMDA,,Yes,5300000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2222,2250,53.6 X 42,Freehold,DTCP,East,No,5000000
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,1759,2160,180 X 108,Freehold,HMDA,,Yes,3800000
Plot/Land for Sale in Kondakal Shankarpally Road Hyderabad,Kondakal Shankarpally Road Hyderabad,3719,2151,45 X 47.8,Freehold,HMDA,East,No,8000000
"Plot/Land for Sale in Bolarum, Medchal Road Hyderabad",Bolarum,7746,1197,,Freehold,,,Yes,9300000
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,3889,3600,,,,,Yes,14000000
Plot/Land for Sale in Ameerpet Hyderabad,Ameerpet Hyderabad,2705,2403,,,,,Yes,6500000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,2944,1800,,,HMDA,,Yes,5300000
Plot/Land for Sale in Mettakanigudem Hyderabad,Mettakanigudem Hyderabad,7449,2376,48 X 49.5,Freehold,HMDA,East,No,17700000
Plot/Land for Sale in Rangapur Shadnagar Hyderabad,Rangapur Shadnagar Hyderabad,1364,2640,66 X 40,Freehold,DTCP,,Yes,3600000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1366,1098,,,HMDA,,Yes,1500000
Plot/Land for Sale in SriSialam Highway Hyderabad,SriSialam Highway Hyderabad,1278,5760,,Freehold,DTCP,,Yes,7400000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,5000,7200,240 X 270,Freehold,,,Yes,36000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1222,1350,,Freehold,DTCP,,Yes,1600000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1686,1305,,Freehold,DTCP,East,No,2200000
